,댓글
0,🙌
1,축하해요 늘 좋은 글 잘 보고 있어요 감사!🙏🏻
2,마더텅을 이긴 그..
3,샀어어 ㅋㅋ 사인 예쁘게해주세여~~~~~ ㅋㅋㅋ
4,저 샀어요!!!
5,사인본을 살지 연습장으로 받을지 고민되서 못사고있는데..😢
6,응원해요👏👏
7,🔥🔥🔥
8,하고싶은거 다 해 〰️ ❤️
9,오빠
10,책 오는 날만 기다리고 있습니다🔥
11,🔥🔥🔥
12,형👍
13,구매했어요~
14,🔥
15,멋있단 말이지
16,👍👍👍
17,Congrats 🔥🔥
18,🔥🔥
19,사랑해
20,주문했어여✨
21,👏🏻👏🏻👏🏻
22,빨리 도착해라 ... 🧡
23,👍👍👍👍❤️🔥
24,Lit
25,❤️
26,❤️
27,잘났다고
28,yeyyy🔥🔥
29,예약구매면 다 사인해주시는거 맞죠?😋😋😋
30,히트다 히트!👍
31,🔥
32,👍👍👍
33,🔥🔥🔥🔥❤️
34,역시 대물래퍼..👍
35,존경합니다🙏
36,♥️
37,👍👍👍👍👍👍👍👍👍
38,대박🔥
39,돈..가스?
40,🔥🔥
41,빼빼로 데이에 화난 내맘 대신 바로 사야겠어요 ㅋㅋㅋㅋㅋㅋㅋ스윙스짱
42,Hit다 Heat 🔥🔥🔥
43,형 사랑해요❤️
44,🔥🔥 축하해요 형
45,히트다 히트👍👍
46,👏👏👏👏
47,🔥🔥
48,🔥🔥👍👍
49,Much deserved king ❤️
50,🙏🙏🙏🙏🙏❤️❤️❤️❤️❤️
51,🔥🔥🔥🔥
52,구매완료🙋‍♀️빨리 받아보고 싶다
53,❤️❤️❤️🔥
54,형 구매했어요ㅎㅎ 늦었지만 친필싸인본으러 왔으면 ㅠ 화이팅!🔥
55,40초는 못참지
56,Respect 🙏🙏🥇🥇🥇🥇😘😘😘😘😘😘😘😘😘😘😘
57,🔥
58,멋져요!!! 증명하셨네요! 과거의 고생이 행복의 밑거름이 되셨길 오늘도 행복하세요.^^
59,Besttttttt 👏🌿
60,오우🔥🔥🔥🔥🔥
61,Congratulations 🎉🔥
62,@jh___gim like ping pong!
63,형님 빨리 받아보고싶어요
64,옳바르고 선하고 멋진 아티스트 스윙스님^^~! 언제나 응원합니다! 스윙스님은 우리나라 최고 랩퍼에요!
65,사인본 언제오나아 빨리 받아보고싶네 💪🏻💪🏻
66,CONGRATS🔥🔥🔥
67,표지 느낌이 미국책 같다 멋있네
68,꿈속에서 샀습니다ㅋㅋㅋ
69,형이 예전에 썼던 POWER만큼 잘 읽을게!고마웡
70,you deserve it
71,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
72,한국 대장 랩퍼 스윙스!
73,❣️❣️❣️❣️❣️❣️❣️
74,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
75,내가 본 남자중 형이 젤멋있음 앞으로도 그럴것이고
76,스윙스 쇼미 진짠 호감 랩 호감 랩퍼
77,빼ㅐ애앵앰
78,어차피 나 1조 벌어! 내 시바견 너보다 잘먹어!
79,2020년 최고의 괴물래퍼
80,더킹 너네나 못이겨
81,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
82,@dear_.beom_ 이거 내가 알려준거야 디엠으로 ㅜ ㅜ ㅜ나 7년째 덕질 처음으로 인스타 답장받았다고오오 ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜㅜ진짜 ㅜ ㅜ ㅜ ㅜ. ㅜ ㅜㅜ. ㅜㅜ ㅜ사랑해여 ㅜ ㅜ ㅜ ㅜ
83,@mhpyourmvp tgh
84,@youngbinbean 트럼프 재산이 3조입니다.
85,@mhpyourmvp 1조 벌러 gaza
86,@youngbinbean 내 시바견 너보다 잘먹어 ! (너 요즘 다이어트 힘내라 )
87,@c__seungyeon97 그만그만
88,@6uophyuk 이정도야
89,@h___ttaek 멘탈관리법
90,@itsursky 자서전?
91,@dmswjd9475 저거 니가 다 검색한거라매
92,@h___ttaek 나 저책 사줘라
93,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
94,@dear_.beom_ 이거 내가 알려준거야 디엠으로 ㅜ ㅜ ㅜ나 7년째 덕질 처음으로 인스타 답장받았다고오오 ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜㅜ진짜 ㅜ ㅜ ㅜ ㅜ. ㅜ ㅜㅜ. ㅜㅜ ㅜ사랑해여 ㅜ ㅜ ㅜ ㅜ
95,@mhpyourmvp tgh
96,@youngbinbean 트럼프 재산이 3조입니다.
97,@mhpyourmvp 1조 벌러 gaza
98,@youngbinbean 내 시바견 너보다 잘먹어 ! (너 요즘 다이어트 힘내라 )
99,@c__seungyeon97 그만그만
100,@6uophyuk 이정도야
101,@h___ttaek 멘탈관리법
102,@itsursky 자서전?
103,@dmswjd9475 저거 니가 다 검색한거라매
104,@h___ttaek 나 저책 사줘라
105,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
106,@dear_.beom_ 이거 내가 알려준거야 디엠으로 ㅜ ㅜ ㅜ나 7년째 덕질 처음으로 인스타 답장받았다고오오 ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜㅜ진짜 ㅜ ㅜ ㅜ ㅜ. ㅜ ㅜㅜ. ㅜㅜ ㅜ사랑해여 ㅜ ㅜ ㅜ ㅜ
107,@mhpyourmvp tgh
108,@youngbinbean 트럼프 재산이 3조입니다.
109,@mhpyourmvp 1조 벌러 gaza
110,@youngbinbean 내 시바견 너보다 잘먹어 ! (너 요즘 다이어트 힘내라 )
111,@c__seungyeon97 그만그만
112,@6uophyuk 이정도야
113,@h___ttaek 멘탈관리법
114,@itsursky 자서전?
115,@dmswjd9475 저거 니가 다 검색한거라매
116,@h___ttaek 나 저책 사줘라
117,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
118,@dear_.beom_ 이거 내가 알려준거야 디엠으로 ㅜ ㅜ ㅜ나 7년째 덕질 처음으로 인스타 답장받았다고오오 ㅜ ㅜ ㅜ ㅜ ㅜ ㅜ ㅜㅜ진짜 ㅜ ㅜ ㅜ ㅜ. ㅜ ㅜㅜ. ㅜㅜ ㅜ사랑해여 ㅜ ㅜ ㅜ ㅜ
119,@mhpyourmvp tgh
120,@youngbinbean 트럼프 재산이 3조입니다.
121,@mhpyourmvp 1조 벌러 gaza
122,@youngbinbean 내 시바견 너보다 잘먹어 ! (너 요즘 다이어트 힘내라 )
123,@c__seungyeon97 그만그만
124,@6uophyuk 이정도야
125,@h___ttaek 멘탈관리법
126,@itsursky 자서전?
127,@dmswjd9475 저거 니가 다 검색한거라매
128,@h___ttaek 나 저책 사줘라
129,@swim._00 스윙스 몰래 검색했는데ㅡㅡ 들켰노
